restaurant,url,item,description,price,image_url
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Egg Rolls,"Pork, crisp vegetables, and spices.",$5.95,"https://menufyproduction.imgix.net/637544423051031245+434393.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Cajun Garlic Fries,"Made to order, always fresh.",$5.95,"https://menufyproduction.imgix.net/637544423147582412+434394.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Popcorn Chicken,"House battered, deep-fried, and seasoned.",$6.45,"https://menufyproduction.imgix.net/637544423252843058+434395.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,NK Slider Burgers (2),Topped with sautéed mushrooms and grilled onions.,$7.95,"https://menufyproduction.imgix.net/637544423432951649+434396.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,NK Chicken Wings (6),Crispy deep-fried wings with our signature sauces.,$8.95,"https://menufyproduction.imgix.net/637544423498296916+434397.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,House Chicken Breast Salad,"Baked chicken breast, sautéed mushrooms, and garlic cream sauce. Choose between NK homemade Italian or ranch dressing.",$11.45,
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Grilled Pork,"Marinated pork, cucumber, cilantro, and pickled carrots.",$11.45,"https://menufyproduction.imgix.net/637544424065880942+434399.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,House Marinated chicken,"Dry rubbed chicken thigh, cucumber, cilantro, and pickled carrots.",$11.45,"https://menufyproduction.imgix.net/637544424146493344+434400.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Garlic Chicken Breast,"Baked chicken breast, cucumber, sautéed mushrooms, and garlic cream sauce.",$11.45,"https://menufyproduction.imgix.net/637544424263252225+434410.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Bulgogi Short Rib Steak,"Short rib steak with bulgogi sauce, onion, cucumber, cilantro, and pickled carrots.",$13.45,"https://menufyproduction.imgix.net/637703596860910804+587105.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Garlic Noodles (No Protein),,$10.45,"https://menufyproduction.imgix.net/638457656021087572+434445.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Garlic Noodles,"Make it with chicken thigh, chicken breast, grilled pork, jumbo tiger shrimp, or bulgogi short rib steak for an extra fee.",$15.45,"https://menufyproduction.imgix.net/638457656050773097+1374710.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Grilled Pork Noodles,"Marinated pork, vermicelli, and mixed veggies. Add jumbo shrimp for an extra $7.95",$15.95,"https://menufyproduction.imgix.net/637827289644378724+734486.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Crawfish Pasta,"Crawfish tail meat, and spicy sausage with tomato cream marinara sauce.",$16.95,"https://menufyproduction.imgix.net/637544424759946205+434414.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Grilled Pork,,$14.95,"https://menufyproduction.imgix.net/637544424889431124+434415.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Grilled Chicken,,$14.95,"https://menufyproduction.imgix.net/637544424974728380+434416.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Bulgogi Short Rib Steak,,$15.95,"https://menufyproduction.imgix.net/637544425158491164+434418.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Jumbo Tiger Shrimp (5),,$15.95,"https://menufyproduction.imgix.net/637544425253669942+434419.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Vietnamese Iced Coffee,,$5.95,
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Thai Tea,,$5.45,"https://menufyproduction.imgix.net/637544425369059874+434421.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Peach & Lychee Green Tea,,$5.45,"https://menufyproduction.imgix.net/637544425423562544+434422.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Green Milk Tea,,$5.45,"https://menufyproduction.imgix.net/637544425502484890+434423.png?auto=compress,format&h=300&w=300&fit=max"
Nguyen's Kitchen,https://orange.ordernguyenskitchen.com/,Fountain Drink,,$3.45,
